id,hex_1,hex_2,hex_3,hex_4,hex_5,timestamp,grade
caf5e08f-c967-11eb-9a68-34c93d2d73c7,#ee70a8,#9ce016,#511841,null,null,2021-06-09 17:15:19.017323,6
cd43757b-c967-11eb-9989-34c93d2d73c7,#f1914b,#9a8e0d,null,null,null,2021-06-09 17:15:22.876733,3
5a1d5c2f-c968-11eb-b0a0-34c93d2d73c7,#f11c91,#a164f8,#f41c25,null,null,2021-06-09 17:19:19.181165,5
5cffe235-c968-11eb-a44e-34c93d2d73c7,#495ca0,#73328a,#52304d,#547d3c,null,2021-06-09 17:19:24.014809,2
2771bbcd-c96b-11eb-9d2e-34c93d2d73c7,#5ad4e2,#50f699,null,null,null,2021-06-09 17:39:22.657828,4
29cb4545-c96b-11eb-b2ea-34c93d2d73c7,#f33362,#f361e0,null,null,null,2021-06-09 17:39:26.592197,5
2bce219b-c96b-11eb-a74f-34c93d2d73c7,#9e37ee,#77fbcd,#4ab9f6,null,null,2021-06-09 17:39:29.973901,5
2ded479c-c96b-11eb-8f86-34c93d2d73c7,#76f49d,#990547,#8ea9d9,#165146,null,2021-06-09 17:39:33.524508,4
3173e1b0-c96b-11eb-9dcd-34c93d2d73c7,#dd9233,#d0cd82,#0fb0dd,#5445c1,null,2021-06-09 17:39:39.461961,5
3364b3c7-c96b-11eb-bcf4-34c93d2d73c7,#d0b7a8,#9e9fdd,null,null,null,2021-06-09 17:39:42.713211,3
357b6847-c96b-11eb-8adc-34c93d2d73c7,#88d753,#ba4252,null,null,null,2021-06-09 17:39:46.204775,5
3b20b3c2-c96b-11eb-99c2-34c93d2d73c7,#6c17a8,#30366a,null,null,null,2021-06-09 17:39:55.681384,6
3d4e8215-c96b-11eb-8930-34c93d2d73c7,#6924b5,#cc79e1,null,null,null,2021-06-09 17:39:59.328170,5
3ec9d533-c96b-11eb-9df8-34c93d2d73c7,#4f1873,#c46c14,null,null,null,2021-06-09 17:40:01.822968,7
41570678-c96b-11eb-8d15-34c93d2d73c7,#8f81db,#408ac5,null,null,null,2021-06-09 17:40:06.139352,4
45d5ee86-c96b-11eb-9915-34c93d2d73c7,#0e0c53,#2ef31e,#09c412,#a2d142,null,2021-06-09 17:40:13.646324,9
49d27261-c96b-11eb-bb6e-34c93d2d73c7,#be911e,#5ba19e,#44a92b,null,null,2021-06-09 17:40:20.338532,3
f0d4c2f3-c9e6-11eb-b194-34c93d2d73c7,#207b5f,#378b55,#52d23e,#ac9232,null,2021-06-10 08:25:28.616202,5
b8a52856-c9ec-11eb-a6df-34c93d2d73c7,#4acfad,#58054b,#582382,null,null,2021-06-10 09:06:51.325613,6
ba599960-c9ec-11eb-b849-34c93d2d73c7,#7f0051,#e2d84e,null,null,null,2021-06-10 09:06:54.174898,6
bbe29424-c9ec-11eb-a80c-34c93d2d73c7,#c38178,#2f72c0,#7432af,null,null,2021-06-10 09:06:56.751312,4
bd728c54-c9ec-11eb-8dda-34c93d2d73c7,#748857,#56bb25,#9fba84,#111179,null,2021-06-10 09:06:59.370648,6
c1d1fc27-c9ec-11eb-9ec3-34c93d2d73c7,#b50371,#deb34a,#5bca80,null,null,2021-06-10 09:07:06.705879,4
ce099470-c9ec-11eb-88d0-34c93d2d73c7,#379ec8,#0f2881,null,null,null,2021-06-10 09:07:27.203394,7
cfe69285-c9ec-11eb-87c2-34c93d2d73c7,#46c79a,#f9d064,null,null,null,2021-06-10 09:07:30.330890,5
d1b310ab-c9ec-11eb-a27e-34c93d2d73c7,#6f7081,#1935b6,null,null,null,2021-06-10 09:07:33.347794,5
d4fa7506-c9ec-11eb-a968-34c93d2d73c7,#80da24,#95bd53,null,null,null,2021-06-10 09:07:38.852850,3
d67f464f-c9ec-11eb-89ac-34c93d2d73c7,#342eb7,#661cee,null,null,null,2021-06-10 09:07:41.395988,6
d923e473-c9ec-11eb-90f5-34c93d2d73c7,#c9809a,#de9f51,null,null,null,2021-06-10 09:07:45.831221,5
daff9872-c9ec-11eb-a084-34c93d2d73c7,#052cb7,#c46a99,#7c1ce9,#0eeda0,null,2021-06-10 09:07:48.950785,6
dc801543-c9ec-11eb-94d5-34c93d2d73c7,#d1500e,#f0bc02,#00c2d1,#e45370,null,2021-06-10 09:07:51.468610,3
de93481b-c9ec-11eb-ae1a-34c93d2d73c7,#90216e,#185b45,null,null,null,2021-06-10 09:07:54.950867,5
e9f0fc67-c9ec-11eb-a004-34c93d2d73c7,#a36e68,#f14b98,#edc712,#626abf,null,2021-06-10 09:08:14.021900,4
eb967879-c9ec-11eb-8bea-34c93d2d73c7,#33a926,#8e93a7,null,null,null,2021-06-10 09:08:16.778118,3
ef9badd1-c9ec-11eb-a1eb-34c93d2d73c7,#283909,#2c3c4a,#eb7d00,null,null,2021-06-10 09:08:23.531198,6
f1d2159e-c9ec-11eb-b717-34c93d2d73c7,#826b08,#09c0b5,null,null,null,2021-06-10 09:08:27.237133,4
f31b336a-c9ec-11eb-8ea9-34c93d2d73c7,#32f364,#d52fb9,#fd290d,null,null,2021-06-10 09:08:29.395067,2
f495f266-c9ec-11eb-8f04-34c93d2d73c7,#5207eb,#16e674,#3ffcac,null,null,2021-06-10 09:08:31.876240,6
f66a839f-c9ec-11eb-a22a-34c93d2d73c7,#67b83a,#9b11f5,#9a7e5f,null,null,2021-06-10 09:08:34.949011,2
1b8f541d-c9f0-11eb-9a01-34c93d2d73c7,#2c201e,#05c418,#f7816a,#234e58,null,2021-06-10 09:31:05.807032,7
30f97020-c9f0-11eb-a328-34c93d2d73c7,#777819,#948774,#b2d323,#944c1d,null,2021-06-10 09:31:41.697715,1
33ddf45e-c9f0-11eb-aa88-34c93d2d73c7,#58c2f2,#aba5bb,#73762a,#cf776d,null,2021-06-10 09:31:46.579655,2
36928bbf-c9f0-11eb-af1e-34c93d2d73c7,#292061,#4c6d1e,null,null,null,2021-06-10 09:31:51.101998,4
38110707-c9f0-11eb-b37c-34c93d2d73c7,#cbc8bf,#48066c,null,null,null,2021-06-10 09:31:53.606302,5
3a00fcd0-c9f0-11eb-a49e-34c93d2d73c7,#dddd26,#ca5b9d,#c7a3aa,null,null,2021-06-10 09:31:56.860615,2
deb8414e-c9f0-11eb-a300-34c93d2d73c7,#600bef,#01508c,#290187,#bee267,null,2021-06-10 09:36:33.179145,4
e9abac1a-c9f0-11eb-96bb-34c93d2d73c7,#4f39b8,#1ada4a,#1d2ab3,null,null,2021-06-10 09:36:51.552606,5
eb641d18-c9f0-11eb-ba43-34c93d2d73c7,#a62839,#30d954,null,null,null,2021-06-10 09:36:54.434024,4
ece4bd9b-c9f0-11eb-8931-34c93d2d73c7,#723a8b,#ad330c,#e5c223,#ac8083,null,2021-06-10 09:36:56.955710,3
f2389c2b-c9f0-11eb-b7bb-34c93d2d73c7,#80f4a1,#c370a9,#60d520,null,null,2021-06-10 09:37:05.892013,2
f5141c77-c9f0-11eb-90ce-34c93d2d73c7,#2f6ed2,#037550,#3f4cf2,#c982be,null,2021-06-10 09:37:10.685937,0
f71f7ef7-c9f0-11eb-8ed2-34c93d2d73c7,#780fa0,#03ace1,null,null,null,2021-06-10 09:37:14.116997,5
f9dcc1f3-c9f0-11eb-b56e-34c93d2d73c7,#8c4a55,#3c6612,#9908f2,#28efd7,null,2021-06-10 09:37:18.710821,3
9282f7d4-c9ff-11eb-ad0a-34c93d2d73c7,#ced293,#1c5662,#bb3ae4,#e0319b,null,2021-06-10 11:21:47.834813,7
a6e2adb3-ca05-11eb-99c0-34c93d2d73c7,#f37639,#3522a5,#5d4f82,#8b0c9e,null,2021-06-10 12:05:18.937998,8
a9128b2c-ca05-11eb-b31b-34c93d2d73c7,#b26877,#23ce3e,#4fba69,null,null,2021-06-10 12:05:22.604204,3
a4d7079d-ca06-11eb-9db3-34c93d2d73c7,#4dd728,#95315f,null,null,null,2021-06-10 12:12:25.003430,5
a6d0246e-ca06-11eb-8560-34c93d2d73c7,#569716,#3b55ad,#d1c8f6,null,null,2021-06-10 12:12:28.311286,7
a961ea08-ca06-11eb-8d9d-34c93d2d73c7,#01f192,#256dfc,null,null,null,2021-06-10 12:12:32.618034,5
afd8f462-ca06-11eb-878f-34c93d2d73c7,#8f8d6e,#54be72,#30c698,#1cba18,null,2021-06-10 12:12:43.468542,1
b2f1d2fd-ca06-11eb-acd9-34c93d2d73c7,#541b8e,#8d6678,null,null,null,2021-06-10 12:12:48.660729,4
b5f261e5-ca06-11eb-89e7-34c93d2d73c7,#3d846a,#20c051,#202cb0,#2e419a,null,2021-06-10 12:12:53.697476,5
b7746087-ca06-11eb-b96e-34c93d2d73c7,#9a6fed,#a91796,null,null,null,2021-06-10 12:12:56.228166,6
b90120db-ca06-11eb-9585-34c93d2d73c7,#04b803,#5100de,#6ab971,null,null,2021-06-10 12:12:58.830311,7
bb618080-ca06-11eb-86ca-34c93d2d73c7,#1320e8,#6e8b5b,#748d34,#b6ebd5,null,2021-06-10 12:13:02.813323,4
bdbe2e46-ca06-11eb-9fcd-34c93d2d73c7,#0600f4,#c0a017,#52445b,null,null,2021-06-10 12:13:06.777145,6
bfb92176-ca06-11eb-9dd0-34c93d2d73c7,#23140f,#45b1f8,#5059e2,#e59b85,null,2021-06-10 12:13:10.098530,9
c2f4b08c-ca06-11eb-bb29-34c93d2d73c7,#994a76,#580cab,null,null,null,2021-06-10 12:13:15.524979,6
c4163e37-ca06-11eb-85f8-34c93d2d73c7,#14a98a,#8ee564,#1c4149,null,null,2021-06-10 12:13:17.420637,8
c6057907-ca06-11eb-b60b-34c93d2d73c7,#303668,#5c415c,#e1b66f,null,null,2021-06-10 12:13:20.665171,7
c7dabeab-ca06-11eb-9d0d-34c93d2d73c7,#b6e392,#cd8ee7,null,null,null,2021-06-10 12:13:23.741653,0
cab299df-ca06-11eb-aecb-34c93d2d73c7,#f0e26c,#94f7f3,null,null,null,2021-06-10 12:13:28.519686,3
ccf71fe2-ca06-11eb-bb69-34c93d2d73c7,#2c11c9,#afbd6c,null,null,null,2021-06-10 12:13:32.319183,6
d6091d7f-ca06-11eb-bf78-34c93d2d73c7,#c47589,#a2ad56,#a69e22,null,null,2021-06-10 12:13:47.536631,0
d96a93ff-ca06-11eb-ad72-34c93d2d73c7,#bb6841,#7623a1,#d23263,#516984,null,2021-06-10 12:13:53.204492,5
db97cab3-ca06-11eb-ad5c-34c93d2d73c7,#257bef,#653459,#b3180c,#127ad4,null,2021-06-10 12:13:56.856238,6
dfb130bc-ca06-11eb-bf7f-34c93d2d73c7,#32ba93,#8d7348,#428c1e,#84385f,null,2021-06-10 12:14:03.733568,4
e117fa9d-ca06-11eb-8ace-34c93d2d73c7,#88d0a7,#271fdb,#09a496,#013fda,null,2021-06-10 12:14:06.089927,8
e6fadf28-ca06-11eb-bdb3-34c93d2d73c7,#0ebab4,#1d891f,#f399c8,null,null,2021-06-10 12:14:15.965502,4
e8e662a3-ca06-11eb-bf4b-34c93d2d73c7,#11bc87,#a86053,#1e2927,#560aa7,null,2021-06-10 12:14:19.182668,8
ec0ac595-ca06-11eb-b94d-34c93d2d73c7,#62b898,#176a10,#7d386e,#9790de,null,2021-06-10 12:14:24.458309,2
edfabe87-ca06-11eb-825f-34c93d2d73c7,#1ec0fe,#674189,null,null,null,2021-06-10 12:14:27.703726,6
f1d1eaac-ca06-11eb-b260-34c93d2d73c7,#9246cb,#0ac3db,#1736ce,null,null,2021-06-10 12:14:34.150004,6
f36168d2-ca06-11eb-866c-34c93d2d73c7,#b97733,#4d79c9,null,null,null,2021-06-10 12:14:36.766161,4
f4dcd0e6-ca06-11eb-8458-34c93d2d73c7,#a67476,#1cfd3c,#451437,#f8385f,null,2021-06-10 12:14:39.252601,6
1031605a-ca07-11eb-bea8-34c93d2d73c7,#af66c1,#c49a12,#a7e66a,null,null,2021-06-10 12:15:25.106286,2
11ef9738-ca07-11eb-9fba-34c93d2d73c7,#b016fd,#a204dc,#d3f312,#48d018,null,2021-06-10 12:15:28.035602,1
159b2614-ca07-11eb-a5de-34c93d2d73c7,#de6998,#edce28,null,null,null,2021-06-10 12:15:34.187094,6
18c7a1ad-ca07-11eb-b42e-34c93d2d73c7,#587feb,#efa83a,#0fd371,#6ad7dc,null,2021-06-10 12:15:39.516280,4
1a980043-ca07-11eb-915c-34c93d2d73c7,#3c4259,#d42927,#8dd824,#a9094c,null,2021-06-10 12:15:42.555102,8
1ce380d2-ca07-11eb-a5bb-34c93d2d73c7,#fe0fb0,#94c86a,#6d555c,null,null,2021-06-10 12:15:46.403334,4
1e95e861-ca07-11eb-8e21-34c93d2d73c7,#447b40,#aebfab,null,null,null,2021-06-10 12:15:49.256194,7
2e812d4e-ca08-11eb-b08e-34c93d2d73c7,#f8a225,#512af5,null,null,null,2021-06-10 12:23:25.461036,7
3065c266-ca08-11eb-8f15-34c93d2d73c7,#353455,#f64c0f,#14d19f,#011d4a,null,2021-06-10 12:23:28.638404,9
3358c48c-ca08-11eb-ab82-34c93d2d73c7,#26669a,#b40715,null,null,null,2021-06-10 12:23:33.585417,6
34e91136-ca08-11eb-999b-34c93d2d73c7,#242582,#62ddc4,#6e3860,#f2fdc9,null,2021-06-10 12:23:36.208794,5
368121ee-ca08-11eb-ac3e-34c93d2d73c7,#693e41,#6f397d,null,null,null,2021-06-10 12:23:38.881097,1
39a85771-ca08-11eb-90d2-34c93d2d73c7,#adce9d,#39fe69,#88720d,#dc3aa6,null,2021-06-10 12:23:44.170286,2
3cf082cb-ca08-11eb-895b-34c93d2d73c7,#b152b3,#d05486,#250f21,#5e9ba2,null,2021-06-10 12:23:49.676357,6
3eeb18b0-ca08-11eb-98ea-34c93d2d73c7,#73b740,#6d4b94,#3f027b,#356e1e,null,2021-06-10 12:23:52.999327,6
40d66cb3-ca08-11eb-a261-34c93d2d73c7,#0764bc,#b80bf3,#e79461,#7a1cad,null,2021-06-10 12:23:56.218313,4
424cab65-ca08-11eb-874f-34c93d2d73c7,#89e9eb,#226a75,#42ba03,null,null,2021-06-10 12:23:58.669938,9
44645224-ca08-11eb-8471-34c93d2d73c7,#6c9d7a,#92ae61,#152980,#ca593a,null,2021-06-10 12:24:02.182382,6
474f4efa-ca08-11eb-b467-34c93d2d73c7,#939f18,#a8701f,#3ded2e,null,null,2021-06-10 12:24:07.075855,2
7dbd5c4e-ca0e-11eb-bfdd-34c93d2d73c7,#2deaba,#4b5303,#771fd1,#8142a1,null,2021-06-10 13:08:35.377416,4
80182271-ca0e-11eb-81c5-34c93d2d73c7,#37ceb3,#6bb8da,null,null,null,2021-06-10 13:08:39.326752,3
81bf0d18-ca0e-11eb-96c3-34c93d2d73c7,#f815fa,#12e515,#735b07,null,null,2021-06-10 13:08:42.094393,4
86dd605c-ca0e-11eb-9d79-34c93d2d73c7,#df92d2,#5e6f97,null,null,null,2021-06-10 13:08:50.683775,6
88dc6164-ca0e-11eb-a6fb-34c93d2d73c7,#25df8c,#3ac2b9,null,null,null,2021-06-10 13:08:54.033831,6
8c35d16d-ca0e-11eb-9793-34c93d2d73c7,#c43a7d,#ca96f5,#4e84a9,null,null,2021-06-10 13:08:59.652983,6
8e97e29d-ca0e-11eb-9e35-34c93d2d73c7,#1a08f4,#f61d16,#f740d1,#1bb204,null,2021-06-10 13:09:03.651090,4
9045d4b2-ca0e-11eb-88b4-34c93d2d73c7,#2a62ae,#6f544d,#bc232e,#85f869,null,2021-06-10 13:09:06.472868,6
9e0bd813-ca0e-11eb-8525-34c93d2d73c7,#c0e92f,#c57375,#0ec546,#293fa4,null,2021-06-10 13:09:29.574910,4
9f852f70-ca0e-11eb-992a-34c93d2d73c7,#4ea55e,#c35952,#7054db,null,null,2021-06-10 13:09:32.049911,5
d68bece5-ca0e-11eb-9d6e-34c93d2d73c7,#96fd96,#fae71f,#b68174,#73a5ee,null,2021-06-10 13:11:04.367663,2
d83e0be7-ca0e-11eb-a313-34c93d2d73c7,#f337bc,#361f3f,#d489d1,null,null,2021-06-10 13:11:07.212717,7
dab7933b-ca0e-11eb-b7e5-34c93d2d73c7,#2f3588,#22104b,null,null,null,2021-06-10 13:11:11.365096,8
dcfe3ab7-ca0e-11eb-8321-34c93d2d73c7,#fe2221,#7730b2,#69e1ca,#dc2c68,null,2021-06-10 13:11:15.182131,5
df454f3c-ca0e-11eb-ba76-34c93d2d73c7,#78c7bc,#6b5b94,null,null,null,2021-06-10 13:11:19.011352,4
e1735d89-ca0e-11eb-a248-34c93d2d73c7,#6f000c,#8c754c,#335ae4,#9de1bf,null,2021-06-10 13:11:22.660642,1
e4e3d622-ca0e-11eb-aeff-34c93d2d73c7,#cae58c,#4ff3a8,null,null,null,2021-06-10 13:11:28.433928,4
e6a04741-ca0e-11eb-9e7e-34c93d2d73c7,#8d12d0,#cd024c,#b5e1e6,null,null,2021-06-10 13:11:31.343532,6
e974329e-ca0e-11eb-887a-34c93d2d73c7,#1778b6,#c9e92e,#72fde9,#01acbb,null,2021-06-10 13:11:36.089864,7
eb73b77b-ca0e-11eb-b10a-34c93d2d73c7,#b79df9,#5e6a58,#3a6ffc,#417a6e,null,2021-06-10 13:11:39.443155,0
f0f6a763-ca0e-11eb-addb-34c93d2d73c7,#43612f,#19598b,#8f9e66,null,null,2021-06-10 13:11:48.688317,3
f31e9f80-ca0e-11eb-8c75-34c93d2d73c7,#86b022,#b7ac82,#7122ba,#2f6549,null,2021-06-10 13:11:52.305299,2
f4f437fa-ca0e-11eb-8f0c-34c93d2d73c7,#0c9e6e,#fd787e,#67291a,#8cbf71,null,2021-06-10 13:11:55.382806,2
f7adffb9-ca0e-11eb-90d4-34c93d2d73c7,#f67bf6,#9bc714,null,null,null,2021-06-10 13:11:59.959232,3
f8e0b88e-ca0e-11eb-ab26-34c93d2d73c7,#c05cc7,#9ae714,null,null,null,2021-06-10 13:12:01.970331,4
fa9a776e-ca0e-11eb-9558-34c93d2d73c7,#f37ff5,#ca3145,#9200b8,null,null,2021-06-10 13:12:04.860940,6
fc44065f-ca0e-11eb-b4fc-34c93d2d73c7,#d00307,#66efba,null,null,null,2021-06-10 13:12:07.648880,6
fd64d298-ca0e-11eb-bf17-34c93d2d73c7,#27c2db,#3f330b,null,null,null,2021-06-10 13:12:09.542576,6
ff1a7e65-ca0e-11eb-8782-34c93d2d73c7,#eb2c2a,#7bad37,#cc50d3,null,null,2021-06-10 13:12:12.411894,0
0087c28d-ca0f-11eb-a47e-34c93d2d73c7,#43ce72,#222daf,#237b09,#929031,null,2021-06-10 13:12:14.802710,3
03161aa1-ca0f-11eb-af48-34c93d2d73c7,#52e5d1,#69cde0,null,null,null,2021-06-10 13:12:19.090979,4
04f6e17e-ca0f-11eb-8d0d-34c93d2d73c7,#5bd746,#5279f9,#04a78f,null,null,2021-06-10 13:12:22.242818,4
066fd033-ca0f-11eb-8d9f-34c93d2d73c7,#8e463f,#81daa1,#998ff2,#0d8b7f,null,2021-06-10 13:12:24.714059,2
09d88048-ca0f-11eb-87bf-34c93d2d73c7,#34559c,#c33d42,#b72635,#3fb266,null,2021-06-10 13:12:30.440937,5
0bd6b725-ca0f-11eb-8ea3-34c93d2d73c7,#88373e,#563365,null,null,null,2021-06-10 13:12:33.776088,4
0d425a79-ca0f-11eb-8c44-34c93d2d73c7,#484a0a,#6418ce,#c05367,#38c9f7,null,2021-06-10 13:12:36.160188,3
0ebb3539-ca0f-11eb-b434-34c93d2d73c7,#1813a8,#2a1be3,null,null,null,2021-06-10 13:12:38.627982,6
115fdd46-ca0f-11eb-8909-34c93d2d73c7,#dc54a1,#c27923,null,null,null,2021-06-10 13:12:43.068462,3
12b84521-ca0f-11eb-bba9-34c93d2d73c7,#171fc1,#fa25c1,#262c28,#b9fa2f,null,2021-06-10 13:12:45.321578,5
145fee3b-ca0f-11eb-b6bb-34c93d2d73c7,#6f4ed0,#369740,null,null,null,2021-06-10 13:12:48.098076,3
3bd426c5-ca15-11eb-91d0-34c93d2d73c7,#eb9ed3,#2c6399,null,null,null,2021-06-10 13:56:51.282219,6
3ec26824-ca15-11eb-9d6a-34c93d2d73c7,#d89383,#56bd21,null,null,null,2021-06-10 13:56:56.186179,3
40002706-ca15-11eb-b238-34c93d2d73c7,#823e5c,#eeb526,#b9c9a2,null,null,2021-06-10 13:56:58.267523,3
41bc67ae-ca15-11eb-aa9f-34c93d2d73c7,#86fc27,#1dfca3,#a6df73,null,null,2021-06-10 13:57:01.179386,0
446cf9ab-ca15-11eb-866d-34c93d2d73c7,#36c23c,#c22d73,null,null,null,2021-06-10 13:57:05.690663,4
483503aa-ca15-11eb-8e76-34c93d2d73c7,#2ccc6c,#669479,#49ebd9,null,null,2021-06-10 13:57:12.036722,2
4be997bd-ca1e-11eb-aa33-34c93d2d73c7,#300c31,#187d7a,null,null,null,2021-06-10 15:01:43.730887,2
4cf70544-ca1e-11eb-bb5f-34c93d2d73c7,#149a0e,#eb5ffd,#581449,null,null,2021-06-10 15:01:45.490651,3
4f551103-ca1e-11eb-b791-34c93d2d73c7,#1e6438,#e790d6,#7f4f45,#085a12,null,2021-06-10 15:01:49.460439,1
52160fb3-ca1e-11eb-99cd-34c93d2d73c7,#7c8131,#84bc0a,#519a8f,#365289,null,2021-06-10 15:01:54.085649,2
55dff8fd-ca1e-11eb-a68f-34c93d2d73c7,#e89f30,#61ed93,null,null,null,2021-06-10 15:02:00.455058,4
57c8ec08-ca1e-11eb-8a31-34c93d2d73c7,#ab0970,#bfc515,null,null,null,2021-06-10 15:02:03.647466,5
593a21b5-ca1e-11eb-80e0-34c93d2d73c7,#47900c,#1f649b,#150050,#d1ea74,null,2021-06-10 15:02:06.067135,6
5c2e7c8e-ca1e-11eb-b5dc-34c93d2d73c7,#4bb479,#de8908,null,null,null,2021-06-10 15:02:11.024000,3
5dac8e0a-ca1e-11eb-b881-34c93d2d73c7,#94a775,#526fc6,#e330f7,null,null,2021-06-10 15:02:13.526891,1
5f4f1b6f-ca1e-11eb-b411-34c93d2d73c7,#34bcd8,#4716e5,#524ea0,#bb2fd1,null,2021-06-10 15:02:16.269916,2
64a06471-ca1e-11eb-8c72-34c93d2d73c7,#1bbd1c,#af069c,#873ce1,#dc9853,null,2021-06-10 15:02:25.210185,0
665a4818-ca1e-11eb-869d-34c93d2d73c7,#60722d,#d43a24,null,null,null,2021-06-10 15:02:28.085180,4
67b63b29-ca1e-11eb-92bc-34c93d2d73c7,#4926ba,#c9dc6b,#83a6d1,#d91733,null,2021-06-10 15:02:30.381486,3
6b163455-ca1e-11eb-a00d-34c93d2d73c7,#d89c03,#884946,#f02679,null,null,2021-06-10 15:02:36.031656,0
6ca48c04-ca1e-11eb-bafc-34c93d2d73c7,#826ccf,#d81463,#9a7759,#39c4ed,null,2021-06-10 15:02:38.638208,0
6db44929-ca1e-11eb-b4a7-34c93d2d73c7,#052779,#b3da22,#6896b5,null,null,2021-06-10 15:02:40.418113,7
6f585404-ca1e-11eb-8f48-34c93d2d73c7,#4a99a0,#bb02aa,null,null,null,2021-06-10 15:02:43.175847,3
70d48728-ca1e-11eb-a891-34c93d2d73c7,#0f2701,#587e32,null,null,null,2021-06-10 15:02:45.664540,7
736f8d70-ca1e-11eb-9bed-34c93d2d73c7,#62c5d2,#f341f8,#321f57,null,null,2021-06-10 15:02:50.034987,7
75347050-ca1e-11eb-897b-34c93d2d73c7,#4acaa5,#ac2518,null,null,null,2021-06-10 15:02:53.003995,4
769e24c3-ca1e-11eb-b2a8-34c93d2d73c7,#89d5d7,#c3ebbe,#3ecb41,null,null,2021-06-10 15:02:55.373546,2
7a01b580-ca1e-11eb-856b-34c93d2d73c7,#b816e0,#390ab2,#4288d8,null,null,2021-06-10 15:03:01.064156,5
7e2113ef-ca1e-11eb-b206-34c93d2d73c7,#1c0036,#83f005,#0cfefe,null,null,2021-06-10 15:03:07.978587,4
81052f3f-ca1e-11eb-8153-34c93d2d73c7,#4a9c6e,#989f59,null,null,null,2021-06-10 15:03:12.827985,2
855f41a2-ca1e-11eb-89b6-34c93d2d73c7,#2a599c,#92c791,#06f44b,#a23021,null,2021-06-10 15:03:20.133156,1
86e0d10e-ca1e-11eb-94b5-34c93d2d73c7,#9f4c00,#51d35d,#299d8e,#f91194,null,2021-06-10 15:03:22.660940,1
87da5ef3-ca1e-11eb-8239-34c93d2d73c7,#c7e72b,#e864d0,#706899,#6ba7b6,null,2021-06-10 15:03:24.294445,1
88a54561-ca1e-11eb-911e-34c93d2d73c7,#4b7514,#faa71f,#46a78d,null,null,2021-06-10 15:03:25.627169,5
8a993c26-ca1e-11eb-b6b2-34c93d2d73c7,#748824,#8e026a,#f3c0eb,null,null,2021-06-10 15:03:28.898715,3
8c11c4c8-ca1e-11eb-b223-34c93d2d73c7,#b27751,#341611,null,null,null,2021-06-10 15:03:31.367430,5
8e0b6876-ca1e-11eb-ba16-34c93d2d73c7,#971113,#4343ab,#f73cfb,null,null,2021-06-10 15:03:34.684182,8
6230ecde-ca21-11eb-9828-34c93d2d73c7,#d00d0b,#23dfef,#4a265c,#0fe10c,null,2021-06-10 15:23:49.593910,1
642d3c86-ca21-11eb-b5d7-34c93d2d73c7,#77ca41,#75653c,#f15929,null,null,2021-06-10 15:23:52.922732,3
66babb94-ca21-11eb-89c2-34c93d2d73c7,#749fe4,#5a29e5,#4627e5,#d079e7,null,2021-06-10 15:23:57.206029,4
